Pinyin,Wade-Giles,Romatzyh,Palladiy,Result
аи,аи ,аы,ай,аи
ба,па ,ба,ба,ба
ба,па ,бах,ба,ба
баи,паи ,баир,бай,баи
баи,паи ,бае,бай,баи
бан,пан ,бан,бань,бан
бан,пан ,банн,бань,бан
банг,панг ,банг,бан,банг
бао,пао ,бау,бао,бао
беи,пеи ,беи,бэй,беи
беи,пеи ,бееи,бэй,беи
бен,пен ,беен,бэнь,бен
би,пи ,бии,би,би
бие,пиех ,бые,бе,бие
бинг,пинг ,бинк,бин,бинг
бу,пу ,бух,бу,бу
цаи,цаи ,цаы,цай,цаи
ча,ча ,чар,ча,ча
ча,ча ,чах,ча,ча
чанг,чанг ,чарнг,чан,чанг
чанг,чанг ,чанк,чан,чанг
че,че ,че,чэ,че
чи,чих ,чы,чи,чи
чу,чу ,чу,чу,чу
чуан,чуан ,чуан,чуань,чуан
чуанг,чуанг ,чвоанг,чуан,чуанг
ци,тзу ,цых,цы,цы
цонг,цунг ,цорнг,цун,цонг
цуо,цо ,цуох,цо,цуо
да,та ,дах,да,да
дао,тао ,даво,дао,дао
ди,де,де,ди,ди
де,де,де,дэ,де
денг,тенг ,деенг,дэн,денг
ди,ти ,дих,ди,ди
ди,ти ,дих,ди,ди
ди,ти ,дих,ди,ди
диан,тиен ,деан,дянь,диан
диан,тиен ,дианн,дянь,диан
донг,тунг ,донг,дун,донг
донг,тунг ,донк,дун,донг
ду,тоу ,доу,ду,ду
ду,ту ,двоу,ду,ду
дуи,туи ,дуеы,дуй,дуи
дуо,то ,дуо,до,дуо
е,е ,ех,э,е
ер,ерх ,елл,эр,ер
фан,фан ,фанн,фань,фан
фанг,фанг ,фанк,фан,фанг
феи,феи ,феи,фэй,феи
фен,фен ,фен,фэнь,фен
фенг,фенг ,фенг,фэн,фенг
ган,кан ,ган,гань,ган
гао,као ,гау,гао,гао
ге,ко ,ге,гэ,ге
ге,ко ,ге,гэ,ге
ге,ко ,гех,гэ,ге
геи,кеи ,гееи,гэй,геи
ген,кен ,ген,гэнь,ген
гуан,куан ,гуан,гуань,гуан
гуи,куеи ,гуеы,гуй,гуе
гуо,куо ,гвоо,го,гуо
хао,хао ,хао,хао,хао
хао,хао ,хаво,хао,хао
хе,хо ,хе,хэ,хе
хе,хо ,хер,хэ,хе
хен,хен ,хеен,хэнь,хен
хоу,хоу ,хово,хоу,хоу
хуа,хуа ,хуа,хуа,хуа
хуа,хуа ,хуах,хуа,хуа
хуаи,хуаи ,хуаы,хуай,хуаи
хуан,хуан ,хвоан,хуань,хуан
хуи,хуи ,хвоеи,хуэй,хуи
хуи,хуи ,хуеы,хуэй,хуи
йи,чи ,йии,цзи,йии
йи,чи ,йих,цзи,йи
йиа,чиа ,йиа,цзя,йиа
йиан,чиен ,йиан,цзянь,йиан
йиан,чиен ,йианн,цзянь,йиан
йиао,чиао ,йиау,цзяо,йиао
йиао,чиао ,йиаво,цзяо,йиао
йин,чин ,йинн,цзинь,йинн
йиу,чиу ,йеоу,цзю,йиу
йиу,чиу ,йиово,цзю,йиу
каи,каи ,каи,кай,каи
као,као ,као,као,као
ке,ко ,кее,кэ,ке
ке,ко ,кех,кэ,ке
коу,коу ,кооу,коу,коу
куаи,куаи ,куаы,куай,куаи
куаи,куаи ,куаы,куай,куаи
лаи,лаи ,лаи,лай,лаи
лао,лао ,лао,лао,лао
ле,ле,ле,лэ,ле
леи,леи ,леы,лэй,леи
ленг,ленг ,леенг,лэн,ленг
ли,ли ,лии,ли,ли
лианг,лианг ,леанг,лян,лианг
линг,линг ,линг,лин,линг
лиу,лиу ,лиово,лю,лиу
лоу,лоу ,лоу,лоу,лоу
лу,лу ,лух,лу,лу
ма,ма ,мха,ма,ма
маи,маи ,мае,май,маи
ман,ман ,манн,мань,ман
манг,манг ,манг,ман,манг
мао,мао ,мау,мао,мао
меи,меи ,меи,мэй,меи
меи,меи ,меы,мэй,меи
мен,мен ,мен,мэнь,мен
на,на ,на,на,на
на,на ,наа,на,на
наи,наи ,нае,най,наи
ни,не,не,ни,ни
ненг,ненг ,ненг,нэн,ненг
ни,ни ,нии,ни,ни
ниан,ниен ,ниан,нянь,ниан
нин,нин ,нин,нинь,нин
пиао,пиао ,пиаво,пяо,пиао
ки,чи ,чи,ци,чи
ки,чи ,чии,ци,чи
киан,чиен ,чыан,цянь,чиан
киан,чиен ,чыан,цянь,чиан
кинг,чинг ,чиинг,цин,чинг
киу,чиу ,чыоу,цю,чиу
ку,чу ,чиух,цюй,чу
ре,йе ,рех,жэ,ре
рен,йен ,рен,жэнь,рен
ри,йих ,рых,жи,ри
роу,йоу ,рово,жоу,роу
сан,сан ,сан,сань,сан
шан,шан ,шан,шань,шан
шанг,шанг ,шанк,шан,шанг
шао,шао ,шао,шао,шао
шуи,шеи ,шеир,шуй,шуи
ши,ших ,шыр,ши,ши
ши,ших ,шых,ши,ши
ши,ших ,шых,ши,ши
ши,ших ,шых,ши,ши
шоу,шоу ,шооу,шоу,шоу
шу,шу ,шу,шу,шу
шу,шу ,шух,шу,шу
шуи,шуи ,шоеи,шуй,шуи
шуи,шуи ,шуеы,шуй,шуи
си,ссу ,сых,сы,сы
сонг,сунг ,сонк,сун,сонг
суи,суи ,суеы,суй,суи
та,та ,та,та,та
та,та ,та,та,та
таи,таи ,таы,тай,таи
тиан,тиен ,тиан,тянь,тиан
тинг,тинг ,тинг,тин,тинг
воаи,воаи ,воаы,вай,воаи
воан,воан ,вооан,вань,воан
воанг,воанг ,воанк,ван,воанг
воен,воен ,военн,вэнь,воен
воо,воо ,вооо,во,воо
воу,воу ,воуу,у,воу
xи,хси ,ши,си,xи
xи,хси ,шии,си,xи
xиа,хсиа ,шиах,ся,xиа
xиан,хсиен ,шиан,сянь,xиан
xианг,хсианг ,шеанг,сян,xианг
xиао,хсиао ,шеау,сяо,xиао
xиао,хсиао ,шиаво,сяо,xиао
xие,хсиех ,шиее,се,xие
xин,хсин ,шин,синь,xин
xинг,хсинг ,шынг,син,xинг
xуе,хсуех ,шыуе,сюэ,xуу
ыао,ыао ,ыаво,яо,ыао
ые,ыех ,ыее,е,ые
ые,ыех ,ыех,е,ые
ыи,и ,и,и,и
ыонг,ыунг ,ыонк,юн,ыонг
ыоу,ыу ,ыеоу,ю,ыоу
ыоу,ыу ,ыово,ю,ыоу
ыу,ыу ,ыеу,юй,ыу
ыуан,ыуан ,ыуан,юань,ыуан
ыуан,ыуан ,ыеуан,юань,ыуан
ыуе,ыуех ,ыуех,юэ,ыуе
заи,цаи ,тзаы,цзай,цаи
заи,цаи ,тзаы,цзай,цаи
зао,цао ,тзао,цзао,цаоо
жан,чан ,янн,чжань,чан
жао,чао ,яо,чжао,чао
же,че ,йех,чжэ,че
жен,чен ,йен,чжэнь,чен
женг,ченг ,йенк,чжэн,ченг
жонг,чунг ,йонг,чжун,чонг
жу,чу ,юх,чжу,чу
зи,тзу ,тзых,цзы,тзы
зоу,цоу ,тзооу,цзоу,цоу
зуи,цуи ,тзуеы,цзуй,цуи
зуо,цо ,тзуоо,цзо,цзо
зуо,цо ,тзуох,цзо,цзо
бан,пан ,банн,бань,бан
бао,пао ,бао,бао,бао
беи,пеи ,беи,бэй,беи
би,пи ,бии,би,би
биан,пиен ,биан,бянь,биан
биан,пиен ,бианн,бянь,биан
биан,пиен ,бианн,бянь,биан
биао,пиао ,беау,бяо,биао
цаи,цаи ,цаир,цай,цаи
цао,цао ,цао,цао,цао
ценг,ценг ,цернг,цэн,ценг
ча,ча ,чар,ча,ча
чанг,чанг ,чарнг,чан,чанг
ченг,ченг ,чернг,чэн,ченг
чуан,чуан ,чвоан,чуань,чуан
чуи,чуи ,чуеи,чуй,чуи
ци,тзу ,цыр,цы,цы
даи,таи ,даы,дай,даи
дан,тан ,данн,дань,дан
дан,тан ,данн,дань,дан
данг,танг ,данг,дан,данг
дао,тао ,дао,дао,дао
дао,тао ,даво,дао,дао
дао,тао ,даво,дао,дао
де,те ,дер,дэ,де
де,де,де,дэ,де
денг,тенг ,денг,дэн,денг
денг,тенг ,деенг,дэн,денг
ди,ти ,ди,ди,ди
диан,тиен ,дианн,дянь,диан
диао,тиао ,диаво,дяо,диао
донг,тунг ,доонг,дун,донг
ду,ту ,дух,ду,ду
дуан,туан ,доан,дуань,дуан
дуан,туан ,дуанн,дуань,дуан
дуи,туи ,дуеы,дуй,дуи
дуи,туи ,дуеы,дуй,дуи
дуо,то ,дуо,до,дуо
фа,фа ,фа,фа,фа
фен,фен ,фен,фэнь,фен
фен,фен ,фенн,фэнь,фен
фенг,фенг ,фенг,фэн,фенг
гаи,каи ,гаи,гай,гаи
гаи,каи ,гае,гай,гаи
ганг,канг ,ганг,ган,ганг
гоу,коу ,гооу,гоу,гоу
гоу,коу ,гово,гоу,гоу
хаи,хаи ,хае,хай,хаи
хан,хан ,хаан,хань,хан
хао,хао ,хао,хао,хао
хе,хо ,хер,хэ,хе
хеи,хеи ,хеи,хэй,хеи
хонг,хунг ,хорнг,хун,хонг
ху,ху ,хвоу,ху,ху
хуа,хуа ,хуа,хуа,хуа
хуа,хуа ,хуах,хуа,хуа
хуан,хуан ,хуанн,хуань,хуан
хуанг,хуанг ,хвоанг,хуан,хуанг
хуи,хуи ,хвоеи,хуэй,хуи
хуи,хуи ,хуеы,хуэй,хуи
хуо,хуо ,хуох,хо,хуо
йи,чи ,йи,цзи,йи
йи,чи ,йыи,цзи,йии
йи,чи ,йыи,цзи,йии
йиа,чиа ,йиа,цзя,йиа
йиа,чиа ,йиа,цзя,йиа
йиа,чиа ,йеа,цзя,йиа
йиан,чиен ,йианн,цзянь,йиан
йианг,чианг ,йеанг,цзян,йианг
йиао,чиао ,йиау,цзяо,йиао
йиао,чиао ,йеау,цзяо,йиао
йиао,чиао ,йеау,цзяо,йиао
йие,чиех ,йие,цзе,йие
йие,чиех ,йие,цзе,йие
йие,чиех ,йые,цзе,йие
йие,чиех ,йиех,цзе,йие
йин,чин ,йин,цзинь,йин
йин,чин ,йинн,цзинь,йинн
йиу,чиу ,йеоу,цзю,йиу
ю,чу ,йеу,цзюй,ю
ю,чу ,йиух,цзюй,ю
киа,ка ,каа,ця,каа
као,као ,каво,као,као
ке,ко ,ке,кэ,ке
ке,ко ,кех,кэ,ке
ке,ко ,кех,кэ,ке
ку,ку ,ку,ку,ку
ла,ла ,лха,ла,ла
лан,лан ,лан,лань,лан
лао,лао ,лао,лао,лао
лао,лао ,лао,лао,лао
ли,ли ,ли,ли,ли
лиан,лиен ,леан,лянь,лиан
лиан,лиен ,лианн,лянь,лиан
лианг,лианг ,лианг,лян,лианг
лианг,лианг ,леанг,лян,лианг
лианг,лианг ,лианк,лян,лианг
лианг,лианг ,лианк,лян,лианг
лиу,лиу ,лиоу,лю,лиу
лиу,лиу ,лиоу,лю,лиу
маи,маи ,маы,май,маи
ман,ман ,маан,мань,ман
мао,мао ,мхау,мао,мао
ми,ми ,мии,ми,ми
минг,минг ,минг,мин,минг
па,па ,пар,па,па
па,па ,пах,па,па
паи,паи ,паир,пай,паи
пенг,пенг ,пенк,пэн,пенг
пиан,пиен ,пиан,пянь,пиан
пиан,пиен ,пианн,пянь,пиан
пинг,пинг ,пынг,пин,пинг
пинг,пинг ,пынг,пин,пинг
ки,чи ,чыи,ци,чи
ки,чи ,чих,ци,чи
киан,чиен ,чиан,цянь,чиан
кианг,чианг ,чыанг,цян,чианг
кинг,чинг ,чинг,цин,чинг
кинг,чинг ,чынг,цин,чинг
киу,чиу ,чыоу,цю,чиу
ку,чу ,чеу,цюй,чу
куан,чуан ,чыуан,цюань,чуан
ранг,янг ,ранк,жан,ранг
шенг,шенг ,шенг,шэн,шенг
шенг,шенг ,шеенг,шэн,шенг
шенг,шенг ,шеенг,шэн,шенг
ши,ших ,шых,ши,ши
шоу,шоу ,шоу,шоу,шоу
шу,шу ,швоу,шу,шу
шу,шу ,шуу,шу,шу
суан,суан ,суанн,суань,суан
та,та ,та,та,та
тао,тао ,таво,тао,тао
тенг,тенг ,тернг,тэн,тенг
ти,ти ,тыи,ти,ти
ти,ти ,тыи,ти,ти
тиао,тиао ,тыау,тяо,тиао
тинг,тинг ,тынг,тин,тинг
тинг,тинг ,тиинг,тин,тинг
тонг,тунг ,тонг,тун,тонг
тоу,тоу ,тоур,тоу,тоу
тоу,тоу ,тоур,тоу,тоу
туи,туи ,туеи,туй,туи
туи,туи ,тоеи,туй,туи
воан,воан ,воан,вань,воан
воан,воан ,вооан,вань,воан
воанг,воанг ,вооанг,ван,воанг
воанг,воанг ,вооанг,ван,воанг
воеи,воеи ,воеы,вэй,воеи
воеи,воеи ,воеы,вэй,воеи
воеи,воеи ,воеы,вэй,воеи
воен,воен ,воен,вэнь,воен
xиа,хсиа ,шиах,ся,xиа
xианг,хсианг ,шеанг,сян,xианг
xианг,хсианг ,шианк,сян,xианг
xианг,хсианг ,шианк,сян,xианг
xиао,хсиао ,шеау,сяо,xиао
xие,хсиех ,шые,се,xие
xин,хсин ,шинн,синь,xинн
xинг,хсинг ,шинк,син,xинг
xуан,хсуан ,шеуан,сюань,xуанн
xуе,хсуех ,шеуе,сюэ,xуу
ыан,ыан ,ыеан,янь,ыан
ыанг,ыанг ,ыеанг,ян,ыанг
ыао,ыао ,ыаво,яо,ыао
ые,ыех ,ыех,е,ые
ыи,и ,ыих,и,ыи
ыин,ыин ,ин,инь,ыин
ыоу,ыу ,ыоу,ю,ыо
ыоу,ыу ,ыово,ю,ыоу
ыу,ыу ,ыу,юй,ыу
ыуан,ыуан ,ыуанн,юань,ыуан
ыуе,ыуех ,ыуех,юэ,ыуе
ыун,ыун ,ыун,юнь,ыун
зан,цан ,тзарн,цзань,цан
жан,чан ,янн,чжань,чан
жан,чан ,янн,чжань,чан
чанг,чанг ,яанг,чан,чанг
жи,чих ,йыы,чжи,чи
жи,чих ,йыы,чжи,чи
жоу,чоу ,йоу,чжоу,чоу
жуанг,чуанг ,юанг,чжуан,чуанг
зу,цу ,тзу,цзу,цуу
зу,цу ,тзуу,цзу,цуу
зуи,цуи ,тзоеи,цзуй,цуи
зуо,цо ,тзуох,цзо,цзо
ан,ан ,анн,ань,ан
ба,па ,баа,ба,ба
ба,па ,баа,ба,ба
баи,паи ,баир,бай,баи
бан,пан ,бан,бань,бан
бан,пан ,баан,бань,бан
бао,пао ,бао,бао,бао
бао,пао ,баво,бао,бао
беи,пеи ,беы,бэй,беи
беи,пеи ,беы,бэй,беи
беи,пеи ,беы,бэй,беи
бинг,пинг ,бинк,бин,бинг
бу,пу ,буу,бу,бу
бу,пу ,бух,бу,бу
бу,пу ,бух,бу,бу
бу,пу ,бух,бу,бу
жао,чао ,чаур,чжао,чао
чао,чао ,чао,чао,чао
ченг,ченг ,чернг,чэн,ченг
чу,чу ,чу,чу,чу
чу,чу ,чу,чу,чу
чуан,чуан ,чвоан,чуань,чуан
цун,цун ,цуен,цунь,цун
цун,цун ,цвоен,цунь,цун
даи,таи ,даы,дай,даи
дао,тао ,дау,дао,дао
диао,тиао ,диаво,дяо,диао
динг,тинг ,динк,дин,динг
дуан,туан ,дуанн,дуань,дуан
дун,тун ,дуенн,дунь,дун
фанг,фанг ,фарнг,фан,фанг
феи,феи ,феы,фэй,феи
фу,фу ,фвоу,фу,фу
фу,фу ,фух,фу,фу
фу,фу ,фух,фу,фу
ган,кан ,гаан,гань,ган
ган,кан ,гаан,гань,ган
ге,ко ,гех,гэ,ге
гу,ку ,гуу,гу,гу
гуа,куа ,гуах,гуа,гуа
гуан,куан ,гоан,гуань,гуан
гуанг,куанг ,гуанг,гуан,гуанг
xинг,ханг ,харнг,син,хинг
хе,хо ,хер,хэ,хе
хуа,хуа ,хуах,хуа,хуа
хуан,хуан ,хвоан,хуань,хуан
хуо,хуо ,хвоо,хо,хуо
хуо,хуо ,хуоо,хо,хуо
йиа,чиа ,йиах,цзя,йиа
йиан,чиен ,йианн,цзянь,йиан
йиао,чиао ,йиаво,цзяо,йиао
йиао,чиао ,йиаво,цзяо,йиао
йин,чин ,йин,цзинь,йин
йин,чин ,йиин,цзинь,йинн
йин,чин ,йиин,цзинь,йинн
йинг,чинг ,йинк,цзин,йинг
йиу,чиу ,йеоу,цзю,йиу
йиу,чиу ,йиово,цзю,йиу
йиу,чиу ,йиово,цзю,йиу
конг,кунг ,конг,кун,конг
кун,кун ,куенн,кунь,кун
ле,ле ,лех,лэ,ле
леи,леи ,леы,лэй,леи
ли,ли ,лих,ли,ли
лиан,лиен ,лиан,лянь,лиан
ле,ле,ле,лэ,ле
линг,линг ,лиинг,лин,линг
лонг,лунг ,лонг,лун,лонг
лу,лу ,лух,лу,лу
луан,луан ,луанн,луань,луан
ма,ма ,маа,ма,ма
мао,мао ,мау,мао,мао
меи,меи ,мееи,мэй,меи
меи,меи ,мееи,мэй,меи
ми,ми ,ми,ми,ми
ми,ми ,мии,ми,ми
моу,моу ,мооу,моу,моу
неи,неи ,неы,нэй,неи
ниан,ниен ,нианн,нянь,ниан
ниу,ниу ,ниоу,ню,ниу
па,па ,пах,па,па
паи,паи ,паи,пай,паи
паи,паи ,паир,пай,паи
паи,паи ,паы,пай,паи
пеи,пеи ,пеы,пэй,пеи
пи,пи ,пыи,пи,пи
по,по ,пох,по,по
ки,чи ,чи,ци,чи
ки,чи ,чыи,ци,чи
кианг,чианг ,чыанг,цян,чианг
киао,чиао ,чыау,цяо,чиао
киао,чиао ,чеау,цяо,чиао
кин,чин ,чин,цинь,чин
ку,чу ,чиу,цюй,чу
куе,чуех ,чиуе,цюэ,чуе
кун,чун ,чыун,цюнь,чун
рен,йен ,ренн,жэнь,рен
рен,йен ,ренн,жэнь,рен
ренг,йенг ,ренг,жэн,ренг
шанг,шанг ,шанг,шан,шанг
шен,шен ,шен,шэнь,шен
шенг,шенг ,шенг,шэн,шенг
шенг,шенг ,шенг,шэн,шенг
шенг,шенг ,шенк,шэн,шенг
ши,ших ,шыр,ши,ши
ши,ших ,шыы,ши,ши
ши,ших ,шых,ши,ши
шоу,шоу ,шово,шоу,шоу
шу,шу ,шу,шу,шу
шу,шу ,шуу,шу,шу
шу,шу ,шух,шу,шу
шуанг,шуанг ,шуанг,шуан,шуанг
си,ссу ,сыы,сы,сы
суи,суи ,своеи,суй,суи
суо,со ,суоо,со,суо
таи,таи ,таир,тай,таи
тан,тан ,тарн,тань,тан
танг,танг ,танг,тан,танг
танг,танг ,тарнг,тан,танг
тиан,тиен ,тыан,тянь,тиан
диао,тиао ,тыау,дяо,диао
тиао,тиао ,тиаво,тяо,тиао
тие,тиех ,тиее,те,тие
тонг,тунг ,тонк,тун,тонг
тоу,тоу ,тоур,тоу,тоу
ту,ту ,твоу,ту,ту
ту,ту ,туу,ту,ту
туан,туан ,твоан,туань,туан
туи,туи ,туеы,туй,туи
воеи,воеи ,воеи,вэй,воеи
воеи,воеи ,воеы,вэй,воеи
воеи,воеи ,воеи,вэй,воеи
xи,хси ,ших,си,xи
xиан,хсиен ,шианн,сянь,xиан
xианг,хсианг ,шианг,сян,xианг
xие,хсуех ,шиуех,се,xиу
xин,хсин ,шин,синь,xин
xин,хсин ,шинн,синь,xинн
xинг,хсинг ,шинк,син,xинг
xиу,хсиу ,шиоу,сю,xиу
ыа,ыа ,иа,я,ыа
ыан,ыан ,иан,янь,ыан
ыан,ыан ,ыеан,янь,ыан
ыанг,ыанг ,ыанг,ян,ыанг
ыи,и ,ыии,и,ыи
ыин,ыин ,ын,инь,ыин
ыинг,ыинг ,ынг,ин,ыинг
ыоу,ыу ,ыоу,ю,ыо
ыоу,ыу ,ыоу,ю,ыо
ыуан,ыуан ,ыуан,юань,ыуан
ыуе,ыуех ,иуе,юэ,ыуе
зао,цао ,тзаво,цзао,цао
жанг,чанг ,янг,чжан,чанг
жао,чао ,яво,чжао,чао
же,че ,йее,чжэ,че
женг,ченг ,йенг,чжэн,ченг
женг,ченг ,йеенг,чжэн,ченг
женг,ченг ,йенк,чжэн,ченг
женг,ченг ,йенк,чжэн,ченг
