Chinese,Pinyin
用于,yòng yú
优惠,yōuhuì
优先,yōuxiān
幽默,yōumò
尤其,yóuqí
由此,yóu cǐ
犹豫,yóuyù
游泳池,yóu yǒng chí
友谊,yǒuyì
有毒,yǒu dú
有害,yǒu hài
有力,yǒu lì
有利于,yǒu lì yú
有着,yǒu zhe
羽毛球,yǔmáoqiú
羽绒服,yǔróngfú
雨水,yǔ shuǐ
预备,yù bèi
预期,yùqī
元旦,uándàn
园林,yuánlín
原理,yuánlǐ
原始,yuánshǐ
原先,yuánxiān
原有,yuán yǒu
远处,yuǎn chù
怨,yuàn
愿,yuàn
约束,yuēshù
月饼,yuè bǐng
月球,yuè qiú
阅览室,yuè lǎn shì
运,yùn
运行,yùnxíng
灾,zāi
灾害,zāihài
灾难,zāinàn
灾区,zāi qū
再次,zài cì
再也,zài yě
在场,zài chǎng
在内,zài nèi
暂时,zànshí
暂停,zàn tíng
糟,zāo
糟糕,zāogāo
早期,zǎo qī
增,zēng
增产,zēng chǎn
增大,zēng dà
增多,zēng duō
增强,zēng qiáng
赠,zèng
赠送,zèngsòng
摘,zhāi
展览,zhǎnlǎn
展示,zhǎnshì
展现,zhǎnxiàn
占领,zhànlǐng
占有,zhàn yǒu
涨,zhǎng
涨价,zhǎng jià
掌握,zhǎngwò
招生,zhāo shēng
招手,zhāo shǒu
珍贵,zhēnguì
珍惜,zhēnxī
珍珠,zhēnzhū
真诚,zhēn chéng
真理,zhēnlǐ
真相,zhēnxiàng
诊断,zhěnduàn
振动,zhèndòng
震惊,zhènjīng
争议,zhēngyì
正版,zhèng bǎn
正规,zhèngguī
正如,zhèng rú
正义,zhèngyì
证实,zhèngshí
证书,zhèngshū
挣,zhèng
挣钱,zhèng qián
之内,zhī nèi
之外,zhī wài
之下,zhī xià
之中,zhī zhōng
支出,zhīchū
支配,zhīpèi
执行,zhíxíng
直线,zhí xiàn
值班,zhíbān
职能,zhínéng
职位,zhíwèi
职务,zhíwù
只不过,zhǐ bú guò
只见,zhǐ jiàn
指标,zhǐbiāo
指甲,zhǐjia
指示,zhǐshì
指责,zhǐzé
至,zhì
制成,zhì chéng
制约,zhìyuē
治安,zhì’ān
治理,zhìlǐ
中断,zhōngduàn
中秋节,zhōng qiū jié
中央,zhōngyāng
中药,zhōng yào
终点,zhōngdiǎn
终身,zhōngshēn
终止,zhōngzhǐ
中毒,zhòng dú
众多,zhòng duō
周期,zhōuqī
竹子,zhúzi
主办,zhǔbàn
主导,zhǔdǎo
主观,zhǔguān
主管,zhǔguǎn
主体,zhǔ tǐ
助理,zhùlǐ
助手,zhùshǒu
注册,zhùcè
注射,zhùshè
注视,zhùshì
注重,zhùzhòng
祝贺,zhùhè
专辑,zhuān jí
专利,zhuānlì
转化,zhuǎn huà
转换,zhuǎn huàn
转让,zhuǎnràng
转向,zhuǎn xiàng
装饰,zhuāngshì
撞,zhuàng
资本,zīběn
资产,zīchǎn
资助,zīzhù
子弹,zǐdàn
仔细,zǐxì
紫,zǐ
自豪,zìháo
自杀,zì shā
自愿,zìyuàn
总裁,zǒngcái
总数,zǒng shù
总算,zǒngsuàn
总体,zǒng tǐ
阻碍,zǔ’ài
组织,zǔzhī
醉,zuì
尊敬,zūnjìng
尊重,zūnzhòng
挨着,āi zhe
挨,ái
挨打,ái dǎ
安检,ān jiǎn
罢工,bàgōng
罢了,bà le
白领,bái lǐng
百分点,bǎi fēn diǎn
办公,bàn gōng
办事处,bàn shì chù
办学,bàn xué
半决赛,bàn jué sài
傍晚,bàngwǎn
保健,bǎo jiàn
报刊,bào kān
报考,bào kǎo
抱歉,bàoqiàn
暴风雨,bào fēng yǔ
暴力,bàolì
暴露,bàolù
暴雨,bào yǔ
爆,bào
爆发,bàofā
爆炸,bàozhà
悲惨,bēicǎn
背心,bèi xīn
背着,bèi zhe
被告,bèigào
奔跑,bēn pǎo
本,běn
本地,běn dì
本期,běn qī
本身,běnshēn
本土,běn tǔ
本质,běnzhì
逼,bī
笔试,bǐ shì
必将,bì jiāng
必修,bì xiū
闭,bì
边缘,biānyuán
编制,biān zhì
扁,biǎn
变更,biàn gēng
变换,biàn huàn
变形,biàn xíng
便,biàn
便是,biàn shì
遍地,biàn dì
表面上,biǎo miàn shàng
病房,bìng fáng
病情,bìng qíng
拨打,bō dǎ
波动,bō dòng
波浪,bōlàng
播,bō
不便,bú biàn
不见,bú jiàn
不料,búliào
不再,bú zài
不至于,bú zhì yú
补考,bǔ kǎo
补课,bǔ kè
补习,bǔ xí
补助,bǔ zhù
捕,bǔ
不成,bù chéng
不禁,bùjīn
不仅仅,bù jǐn jǐn
不通,bù tōng
不怎么,bù zěn me
不怎么样,bù zěn me yàng
不值,bù zhí
布满,bù mǎn
部队,bù duì
采纳,cǎinà
踩,cǎi
参赛,cān sài
参展,cān zhǎn
餐,cān
残疾,cánjí
残疾人,cán jí rén
残酷,cánkù
惨,cǎn
仓库,cāngkù
藏,cáng
操纵,cāozòng
厕所,cèsuǒ
侧,cè
测定,cè dìng
策划,cèhuà
策略,cèlüè
层面,céng miàn
差异,chā yì
查出,chá chū
查看,chá kàn
拆迁,chāi qiān
产量,chǎn liàng
昌盛,chāngshèng
长短,cháng duǎn
长假,cháng jià
长久,cháng jiǔ
长跑,cháng pǎo
长远,cháng yuǎn
常规,cháng guī
常年,cháng nián
厂商,chǎng shāng
场地,chǎng dì
场馆,chǎng guǎn
场景,chǎng jǐng
畅通,chàngtōng
超,chāo
超出,chāo chū
炒,chǎo
炒股,chǎo gǔ
炒作,chǎo zuò
车号,chē hào
车牌,chē pái
车展,chē zhǎn
撤离,chè lí
撤销,chèxiāo
撑,chēng
成,chéng
成分,chéngfèn
成品,chéng pǐn
承诺,chéngnuò
城区,chéng qū
城乡,chéng xiāng
城镇,chéng zhèn
持有,chí yǒu
冲击,chōngjī
重建,chóng jiàn
重组,chóng zǔ
崇拜,chóngbài
宠物,chǒngwù
冲,chōng
出场,chū chǎng
出动,chū dòng
出访,chū fǎng
出路,chūlù
出面,chū miàn
出名,chū míng
出入,chū rù
出事,chū shì
出台,chū tái
出行,chū xíng
初等,chū děng
除,chú
厨师,chú shī
储存,chǔcún
处处,chù chù
处长,chù zhǎng
传出,chuán chū
传媒,chuán méi
传输,chuán shū
传言,chuán yán
船员,chuán yuán
船长,chuán zhǎng
船只,chuán zhī
串,chuàn
窗口,chuāng kǒu
创办,chuàng bàn
创建,chuàng jiàn
创意,chuàng yì
此处,cǐ chù
此次,cǐ cì
此前,cǐ qián
此事,cǐ shì
此致,cǐ zhì
次数,cì shù
从不,cóng bù
从没,cóng méi
醋,cù
村庄,cūn zhuāng
错过,cuò guò
搭,dā
搭档,dādàng
搭配,dāpèi
打动,dǎ dòng
打断,dǎ duàn
打发,dǎ fa
打官司,dǎguānsi
打牌,dǎ pái
打印机,dǎ yìn jī
打造,dǎ zào
大道,dà dào
大街,dà jiē
大力,dà lì
大米,dà mǐ
大批,dà pī
大赛,dà sài
大师,dà shī
大使,dà shǐ
待会儿,dāi huìr
担忧,dān yōu
单打,dān dǎ
诞生,dànshēng
党,dǎng
当,dāng
当成,dāng chéng
当天,dāng tiān
当作,dàng zuò
档,dàng
档案,dàng’àn
岛,dǎo
到期,dào qī
盗版,dào bǎn
道教,dào jiào
道歉,dàoqiàn
低头,dī tóu
低温,dī wēn
滴,dī
抵达,dǐdá
抵抗,dǐkàng
地板,dì bǎn
地名,dì míng
地下室,dì xià shì
电车,diàn chē
电动,diàn dòng
电力,diàn lì
电器,diàn qì
吊,diào
调研,diào yán
跌,diē
定价,dìng jià
定时,dìng shí
定位,dìng wèi
动画,dòng huà
斗争,dòuzhēng
都市,dū shì
毒品,dúpǐn
赌,dǔ
赌博,dǔbó
渡,dù
端,duān
端午节,uānwǔjié
短片,duǎn piàn
队伍,duìwu
对抗,duìkàng
对外,duì wài
蹲,dūn
多半,duō bàn
多方面,duō fāng miàn
多媒体,duō méi tǐ
夺,duó
夺取,duó qǔ
恩人,ēn rén
儿科,ér kē
发病,fā bìng
发电,fā diàn
发放,fā fàng
发怒,fā nù
发起,fā qǐ
发言人,fā yán rén
发炎,fāyán
法庭,fǎ tíng
法语,fǎ yǔ
番,fān
番茄,fān qié
凡是,fánshì
繁殖,fánzhí
反抗,fǎnkàng
反问,fǎnwèn
反响,fǎn xiǎng
犯,fàn
犯规,fàn guī
犯罪,fàn zuì
防范,fáng fàn
防守,fángshǒu
房价,fáng jià
仿佛,fǎngfú
飞船,fēi chuán
飞行员,fēi xíng yuán
肺,fèi
分工,fēn gōng
分裂,fēnliè
愤怒,fènnù
风暴,fēngbào
峰会,fēng huì
奉献,fèngxiàn
佛,fó
佛教,fó jiào
服,fú
浮,fú
父女,fù nǚ
父子,fù zǐ
负,fù
妇女,fùnǚ
复苏,fù sū
副,fù
副,fù
富人,fù rén
富有,fù yǒu
改装,gǎi zhuāng
干涉,gānshè
肝,gān
杆,gān
赶不上,gǎn bú shàng
赶忙,gǎn máng
赶上,gǎn shàng
敢于,gǎn yú
感人,gǎn rén
刚好,gāng hǎo
岗位,gǎngwèi
港口,gǎngkǒu
高层,gāo céng
高档,gāodàng
高等,gāo děng
高峰,gāofēng
高考,gāo kǎo
高科技,gāo kē jì
高手,gāo shǒu
稿子,gǎo zi
歌唱,gē chàng
歌词,gē cí
歌星,gē xīng
革新,gé xīn
更是,gèng shì
工商,gōng shāng
公,gōng
公安,gōng ān
公鸡,gōng jī
公众,gōng zhòng
公主,gōngzhǔ
攻击,gōngjī
供给,gōngjǐ
宫,gōng
巩固,gǒnggù
贡献,gòngxiàn
构建,gòu jiàn
孤独,gūdú
孤儿,gū ér
姑姑,gūgu
古典,gǔdiǎn
股,gǔ
股东,gǔdōng
股票,gǔpiào
故障,gùzhàng
顾,gù
刮,guā
拐,guǎi
关爱,guān ài
关联,guān lián
观光,guānguāng
官司,guān si
管道,guǎn dào
光辉,guānghuī
广阔,guǎngkuò
轨道,guǐdào
跪,guì
国产,guó chǎn
国歌,guó gē
国会,guó huì
国旗,guó qí
国王,guówáng
果酱,guǒ jiàng
果树,guǒ shù
过渡,guòdù
过后,guò hòu
过时,guò shí
海报,hǎi bào
海底,hǎi dǐ
海军,hǎi jūn
海浪,hǎi làng
海外,hǎi wài
海湾,hǎi wān
海洋,hǎiyáng
好容易,hǎo  róng yì
好似,hǎo sì
好转,hǎo zhuǎn
好学,hào xué
合约,hé yuē
和谐,héxié
核心,héxīn
黑夜,hēi yè
很难说,hěn nán shuō
狠,hěn
横,héng
衡量,héng liáng
宏大,hóng dà
洪水,hóngshuǐ
忽略,hūlüè
壶,hú
互动,hù dòng
户外,hù wài
护,hù
花费,huā fèi
花瓶,huā píng
花生,huāshēng
化解,huà jiě
幻想,huànxiǎng
患者,huànzhě
皇帝,huángdì
回应,huí yìng
毁,huǐ
会见,huì jiàn
会长,huì zhǎng
绘画,huì huà
昏,hūn
混,hùn
混合,hùnhé
混乱,hùnluàn
活跃,huóyuè
火箭,huǒjiàn
机动车,jī dòng chē
机关,jī guān
机械,jīxiè
基督教,jī dū jiào
激情,jīqíng
吉利,jí lì
吉祥,jíxiáng
极端,jíduān
急救,jí jiù
疾病,jíbìng
集,jí
给予,jǐyǔ
加盟,jiā méng
家电,jiā diàn
家园,jiā yuán
嘉宾,jiābīn
假日,jià rì
尖,jiān
监测,jiān cè
监督,jiāndū
捡,jiǎn
简介,jiǎn jiè
剑,jiàn
鉴定,jiàndìng
箭,jiàn
将军,jiāngjūn
讲课,jiǎng kè
酱,jiàng
酱油,jiàngyóu
骄傲,jiāo’ào
焦点,jiāodiǎn
脚印,jiǎo yìn
觉,jiào
教堂,jiào táng
教育部,jiào yù bù
接收,jiē shōu
揭,jiē
街头,jiē tóu
节,jié
节假日,jié jià rì
节能,jié néng
节奏,jiézòu
杰出,jiéchū
截止,jiézhǐ
截至,jiézhì
解,jiě
解说,jiě shuō
界,jiè
界,jiè 
借鉴,jièjiàn
金额,jīn é
金钱,jīn qián
金融,jīnróng
尽,jìn
进攻,jìngōng
近日,jìn rì
近视,jìn shì
惊人,jīng rén
惊喜,jīng xǐ
精,jīng
精美,jīng měi
精品,jīng pǐn
井,jǐng
景,jǐng
景点,jǐng diǎn
净,jìng
纠纷,jiūfēn
纠正,jiūzhèng
酒水,jiǔ shuǐ
救命,jiù mìng
救援,jiù yuán
救助,jiù zhù
就是说,jiù shì shuō
就算,jiù suàn
局,jú
剧,jù
据,jù
捐,juān
捐款,juān kuǎn
捐赠,juān zèng
捐助,juān zhù
决策,juécè
觉悟,juéwù
绝,jué
绝大多数,jué dà duō shù
军队,jūnduì
军舰,jūn jiàn
军事,jūnshì
开创,kāi chuàng
开关,kāi guān
开设,kāi shè
开通,kāi tōng
开头,kāi tóu
开夜车,kāi yè chē
看,kān
看管,kān guǎn
看得见,kàn de jiàn
看得起,kàn de qǐ
看好,kàn hǎo
看作,kàn zuò
康复,kāng fù
抗议,kàngyì
考场,kǎo chǎng
考题,kǎo tí
科研,kē yán
客车,kè chē
肯,kěn
空军,kōng jūn
口试,kǒu shì
扣,kòu
酷,kù
跨,kuà
快车,kuài chē
宽阔,kuān kuò
矿,kuàng
阔,kuò
啦,la
来往,lái wǎng
赖,lài
栏目,lánmù
蓝领,lán lǐng
蓝天,lán tiān
懒,lǎn
牢,láo
老乡,lǎo xiāng
冷气,lěng qì
冷水,lěng shuǐ
礼堂,lǐ táng
理,lǐ
理财,lǐ cái
理智,lǐzhì
力,lì 
利,lì
联盟,liánméng
联赛,lián sài
联手,lián shǒu
凉鞋,liáng xié
两侧,liǎng cè
两手,liǎng shǒu
聊,liáo
聊天儿,liáo tiānr
料,liào
料,liào
裂,liè
灵活,línghuó
领取,lǐng qǔ
领袖,lǐngxiù
另,lìng
留言,liú yán
流感,liú gǎn
楼道,lóu dào
楼房,lóu fáng
露,lòu
陆军,lù jūn
录像,lù xiàng
录音机,lù yīn jī
路过,lù guò
露,lù
旅店,lǚ diàn
绿化,lǜ huà
马车,mǎ chē
嘛,ma
埋,mái
馒头,mántou
慢车,màn chē
盲人,máng rén
梅花,méi huā
美容,měi róng
蒙,mēng
蒙,méng
猛,měng
棉,mián
免得,miǎndé
面对面,miàn duì miàn
面向,miàn xiàng
妙,miào
灭,miè
民歌,mín gē
民工,mín gōng
民警,mín jǐng
民意,mín yì
民主,mínzhǔ
名额,míng’é
名胜,míng shèng
名义,míng yì
名誉,míngyù
明日,míng rì
命,mìng
膜,mó
磨,mó
没收,mò shōu
墨水,mò shuǐ
母,mǔ
母鸡,mǔ jī
母女,mǔ nǚ
母子,mǔ zǐ
墓,mù
拿走,ná zǒu
奶粉,nǎi fěn
奶牛,nǎi niú
难忘,nán wàng
内地,nèi dì
内外,nèi wài
内衣,nèi yī
能否,néng fǒu
泥,ní
扭,niǔ
排行榜,pái háng bǎng
派出,pài chū
判,pàn
盼望,pànwàng
泡,pào
炮,pào
陪同,péi tóng
配置,pèi zhì
皮球,pí qiú
偏,piān
贫困,pínkùn
品牌,pǐn pái
聘请,pìn qǐng
平凡,píngfán
平方米,píng fāng mǐ
平衡,pínghéng
平台,píng tái
评,píng
评选,píng xuǎn
屏幕,píngmù
坡,pō
扑,pū
铺,pū
欺负,qīfu
奇妙,qímiào
企图,qǐtú
起点,qǐ diǎn
起诉,qǐ sù
气氛,qìfēn
恰当,qiàdàng
恰好,qià hǎo
恰恰,qià qià
牵,qiān
铅笔,qiānbǐ
谦虚,qiānxū
前方,qián fāng
前来,qián lái
潜力,qiánlì
强盗,qiáng dào
强化,qiáng huà
强势,qiáng shì
强壮,qiáng zhuàng
桥梁,qiáoliáng
巧妙,qiǎomiào
茄子,qié zi
切实,qièshí
侵犯,qīnfàn
亲属,qīn shǔ
亲眼,qīn yǎn
倾向,qīngxiàng
清,qīng
清洁,qīngjié
清洁工,qīng jié gōng
清明节,qīng míng jié
清洗,qīng xǐ
情绪,qíngxù
求职,qiú zhí
球拍,qiú pāi
球星,qiú xīng
球员,qiú yuán
区分,qūfēn
渠道,qúdào
取款,qǔ kuǎn
取款机,qǔ kuǎn jī
去掉,qù diào
权,quán
权力,quánlì
全力,quán lì
全新,quán xīn
券,quàn
缺陷,quēxiàn
却是,què shì
让座,ràng zuò
热点,rè diǎn
热水,rè shuǐ
热水器,rè shuǐ qì
热线,rè xiàn
人权,rén quán
认同,rèn tóng
日夜,rì yè
日语,rì yǔ
融合,róng hé
融入,róng rù
如,rú
如一,rú yī
乳制品,rǔ zhì pǐn
入,rù
入学,rù xué
若,ruò
塞,sāi
赛,sài
赛场,sài chǎng
三明治,sān míng zhì
丧失,sàngshī
山峰,shān fēng
山谷,shān gǔ
山坡,shān pō
伤口,shāng kǒu
伤亡,shāng wáng
伤员,shāng yuán
商城,shāng chéng
上当,shàngdàng
上帝,shàng dì
上市,shàng shì
上台,shàng tái
上演,shàng yǎn
勺,sháo
少儿,shào ér
舌头,shétou
设计师,shè jì shī
涉及,shèjí
深化,shēn huà
深深,shēn shēn
审查,shěnchá
升级,shēng jí
升学,shēng xué
升值,shēng zhí
生活费,shēng huó fèi
省钱,shěng qián
圣诞节,shèng dàn jié
盛行,shèngxíng
师父,shī fu
师生,shī shēng
时而,shí’ér
时节,shí jié
时期,shíqī
时时,shí shí
时装,shí zhuāng
识,shí
识字,shí zì
实践,shíjiàn
食欲,shí yù
市民,shì mín
事后,shì hòu
试点,shì diǎn
适当,shì dàng
收藏,shōucáng
收取,shōu qǔ
收养,shōu yǎng
手续费,shǒu xù fèi
首,shǒu
首次,shǒu cì
首脑,shǒu nǎo
首席,shǒu xí
首相,shǒu xiàng
书房,shū fáng
薯片,shǔ piàn
薯条,shǔ tiáo
双打,shuāng dǎ
爽,shuǎng
水泥,shuǐní
税,shuì
顺,shùn
说明书,shuō míng shū
说实话,shuō shí huà
司长,sī zhǎng
死亡,sǐwáng
四处,sì chù
寺,sì
送礼,sòng lǐ
送行,sòng xíng
素质,sùzhì
算了,suàn le
算是,suàn shì
虽,suī
岁数,suì shù
所,suǒ
踏实,tāshi
塔,tǎ
踏,tà
台灯,tái dēng
太阳能,tài yáng néng
叹气,tànqì
探索,tànsuǒ
探讨,tàntǎo
趟,tàng
掏,tāo
特,tè
特大,tè dà
特地,tè dì
特快,tè kuài
特意,tèyì
疼痛,téng tòng
踢,tī
提交,tí jiāo
提升,tí shēng
天然,tiān rán
天堂,tiāntáng
天下,tiān xià
添,tiān
田,tián
田径,tiánjìng
跳水,tiào shuǐ
听取,tīng qǔ
通报,tōng bào
通道,tōng dào
通红,tōng hóng
通话,tōng huà
通行,tōng xíng
通讯,tōngxùn
同,tóng
同胞,tóngbāo
同行,tóng háng
同期,tóng qī
同一,tóng yī
铜牌,tóng pái
头疼,tóu téng
投票,tóupiào
透露,tòulù
图书,tú shū
徒弟,túdì
途径,tújìng
土,tǔ
团队,tuán duì
推出,tuī chū
退票,tuì piào
吞,tūn
托,tuō
拖,tuō
拖鞋,tuō xié
挖,wā
娃娃,wáwa
哇,wa
外币,wài bì
外部,wài bù
外出,wài chū
外观,wài guān
外科,wài kē
外来,wài lái
外头,wài tou
外衣,wài yī
外资,wài zī
弯曲,wān qū
顽皮,wán pí
顽强,wánqiáng
王后,wáng hòu
王子,wángzǐ
网吧,wǎng bā
网页,wǎng yè
往后,wǎng hòu
往来,wǎng lái
往年,wǎng nián
望见,wàng jiàn
危机,wēijī
威胁,wēixié
微波炉,wēi bō lú
维生素,wéishēngsù
为此,wèi cǐ
为何,wèi hé
文娱,wén yú
卧铺,wò pù
乌云,wū yún
无边,wú biān
无关,wú guān
无效,wú xiào
舞蹈,wǔdǎo
物品,wù pǐn
误,wù
西班牙语,xī bān yá yǔ
吸毒,xī dú
牺牲,xīshēng
洗衣粉,xǐ yī fěn
戏曲,xì qǔ
细胞,xìbāo
细菌,xìjūn
先锋,xiān fēng
嫌,xián
显出,xiǎn chū
险,xiǎn
线路,xiàn lù
陷入,xiànrù
响声,xiǎng shēng
想不到,xiǎng bú dào
消耗,xiāohào
消灭,xiāomiè
小费,xiǎo fèi
小麦,xiǎomài
小于,xiǎo yú
晓得,xiǎo dé
笑脸,xiào liǎn
笑容,xiào róng
笑声,xiào shēng
协会,xiéhuì
协商,xiéshāng
协调,xiétiáo
协助,xiézhù
写字楼,xiě zì lóu
写字台,xiě zì tái
心灵,xīnlíng
心愿,xīn yuàn
心脏,xīnzàng
心脏病,xīn zàng bìng
新人,xīn rén
新兴,xīn xīng
薪水,xīnshui
信仰,xìnyǎng
信用,xìn yòng
兴旺,xīngwàng
行程,xíng chéng
形,xíng
凶,xiōng
凶手,xiōngshǒu
修车,xiū chē
袖珍,xiù zhēn
悬,xuán
旋转,xuánzhuǎn
选拔,xuǎnbá
选举,xuǎnjǔ
学会,xué huì
学员,xué yuán
血管,xuè guǎn
血液,xuè yè
循环,xúnhuán
压迫,yāpò
烟花,yān huā
沿,yán
沿海,yánhǎi
沿着,yán zhe
研发,yán fā
眼看,yǎn kàn
演奏,yǎnzòu
宴会,yànhuì
洋,yáng
仰,yǎng
养老,yǎng lǎo
氧气,yǎngqì
样,yàng
药品,yào pǐn
要不然,yào bù rán
要好,yào hǎo
要么,yào me
要素,yàosù
野,yě
野生,yě shēng
医药,yī yào
依次,yī cì
依赖,yīlài
一次性,yí cì xìng
一代,yí dài
一道,yí dào
一贯,yíguàn
一路上,yí lù shàng
仪器,yíqì
仪式,yíshì
遗憾,yíhàn
一番,yì fān
一模一样,yì mú yí yàng
一齐,yì qí
一时,yì shí
一同,yì tóng
一行,yì xíng
艺人,yì rén
议题,yì tí
异常,yìcháng
意想不到,yì xiǎng bù dào
意愿,yì yuàn
因,yīn
因素,yīnsù
阴谋,yīnmóu
阴影,yīn yǐng
音量,yīn liàng
音像,yīn xiàng
隐藏,yǐn cáng
隐私,yǐnsī
印,yìn
英雄,yīngxióng
迎来,yíng lái
影迷,yǐng mí
影星,yǐng xīng
应对,yìng duì
应急,yìng jí
用处,yòng chù
用得着,yòng de zháo
用法,yòng fǎ
用品,yòng pǐn
用心,yòng xīn
优质,yōu zhì
游人,yóu rén
游玩,yóu wán
游戏机,yóu xì jī
游行,yóu xíng
有关,yǒu guān
有没有,yǒu méi yǒu
有事,yǒu shì
于,yú
娱乐,yúlè
愉快,yúkuài
与,yǔ
宇航员,yǔ háng yuán
雨衣,yǔ yī
预约,yù yuē
元素,yuánsù
园,yuán
园地,yuán dì
原,yuán
原告,yuángào
原谅,yuánliàng
圆珠笔,yuán zhū bǐ
援助,yuán zhù
缘故,yuángù
远方,yuǎn fāng
远离,yuǎn lí
远远,yuǎn yuǎn
约定,yuē dìng
乐曲,yuè qǔ
晕,yūn
允许,yǔnxǔ
运作,yùn zuò
晕车,yùn chē
杂,zá
再生,zài shēng
再说,zài shuō
遭到,zāo dào
遭受,zāoshòu
遭遇,zāoyù
早晚,zǎo wǎn
增进,zēng jìn
增值,zēng zhí
扎,zhā
扎实,zhāshi
炸,zhà
炸弹,zhà dàn
炸药,zhà yào
债,zhài
占据,zhànjù
战场,zhàn chǎng
战略,zhànlüè
战术,zhànshù
战友,zhàn yǒu
站台,zhàn tái
章,zhāng
长,zhǎng 
掌声,zhǎng shēng
账,zhàng
账户,zhànghù
涨,zhǎng
障碍,zhàng’ài
招,zhāo
招聘,zhāopìn
照样,zhàoyàng
照耀,zhàoyào
哲学,zhéxué
这就是说,zhè jiù shì shuō
镇,zhèn
争夺,zhēngduó
整顿,zhěngdùn
整治,zhěng zhì
正当,zhèngdāng
政策,zhèngcè
政党,zhèng dǎng
政权,zhèngquán
症状,zhèngzhuàng
之类,zhī lèi
支撑,zhīchēng
支援,zhīyuán
枝,zhī
知名,zhī míng
织,zhī
直升机,zhí shēng jī
职责,zhí zé
止,zhǐ
只得,zhǐ dé
只顾,zhǐ gù
只管,zhǐ guǎn
指定,zhǐdìng
指数,zhǐ shù
指头,zhǐ tou
指着,zhǐ zhe
至于,zhìyú
治病,zhì bìng
智慧,zhìhuì
中等,zhōng děng
中华,zhōng huá
中期,zhōng qī
中外,zhōng wài
忠心,zhōng xīn
钟头,zhōng tóu
肿,zhǒng
种种,zhǒng zhǒng
粥,zhōu
珠宝,zhū bǎo
诸位,zhūwèi
主持人,zhǔ chí rén
主角,zhǔ jué
主流,zhǔliú
煮,zhǔ
住宅,zhùzhái
驻,zhù
柱子,zhù zi
祝愿,zhù yuàn
专用,zhuān yòng
转,zhuàn
转动,zhuàn dòng
赚,zhuàn
赚钱,zhuàn qián
装备,zhuāngbèi
壮观,zhuàngguān
追究,zhuījiū
捉,zhuō
咨询,zīxún
自来水,zì lái shuǐ
自我,zì wǒ
自学,zì xué
自言自语,zì yán zì yǔ
自在,zì zài
宗教,zōngjiào
总部,zǒng bù
总监,zǒng jiān
总经理,zǒng jīng lǐ
总量,zǒng liàng
走私,zǒusī
奏,zòu
租金,zū jīn
足,zú
足以,zúyǐ
族,zú
族,zú 
祖父,zǔfù
祖国,zǔguó
祖母,zǔ mǔ
钻,zuàn
最佳,zuì jiā
最终,zuì zhōng
罪,zuì
罪恶,zuì è
作,zuò
作废,zuòfèi
作战,zuò zhàn
